key=1911)   value=MapReduceAssignment/test1:4
key=rubinstein.   value=MapReduceAssignment/test1:3
key=1913)   value=MapReduceAssignment/test1:9
key=french   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:40, MapReduceAssignment/test3:27
key=capablanca.   value=MapReduceAssignment/test1:14
key=181   value=MapReduceAssignment/test1:1
key=memorial   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:2
key=o.   value=MapReduceAssignment/test1:5
key=(berlin,   value=MapReduceAssignment/test1:3
key=teichmann   value=MapReduceAssignment/test1:2
key=221   value=MapReduceAssignment/test1:1
key=1918)   value=MapReduceAssignment/test1:6
key=s.   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1, MapReduceAssignment/test3:24
key={3}   value=MapReduceAssignment/test1:1
key=do,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:2, MapReduceAssignment/test3:10
key=can   value=MapReduceAssignment/test1:124, MapReduceAssignment/test2:80, MapReduceAssignment/test3:253
key=quickly   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:3, MapReduceAssignment/test3:10
key=drive   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:2, MapReduceAssignment/test3:9
key=on   value=MapReduceAssignment/test1:214, MapReduceAssignment/test2:461, MapReduceAssignment/test3:1220
key=demonstrated   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=7,   value=MapReduceAssignment/test1:23, MapReduceAssignment/test3:2
key=rank,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:1, MapReduceAssignment/test3:7
key=kt   value=MapReduceAssignment/test1:1341
key=needed   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2, MapReduceAssignment/test3:27
key=follow   value=MapReduceAssignment/test1:13, MapReduceAssignment/test2:13, MapReduceAssignment/test3:17
key=or,   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:9, MapReduceAssignment/test3:10
key=when,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:6, MapReduceAssignment/test3:6
key=better   value=MapReduceAssignment/test1:43, MapReduceAssignment/test2:24, MapReduceAssignment/test3:69
key=2...k   value=MapReduceAssignment/test1:4
key=5   value=MapReduceAssignment/test1:367, MapReduceAssignment/test3:7
key=back   value=MapReduceAssignment/test1:29, MapReduceAssignment/test2:122, MapReduceAssignment/test3:97
key=if   value=MapReduceAssignment/test1:175, MapReduceAssignment/test2:189, MapReduceAssignment/test3:321
key=6...k   value=MapReduceAssignment/test1:2
key=exactly   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:9
key=could   value=MapReduceAssignment/test1:60, MapReduceAssignment/test2:89, MapReduceAssignment/test3:178
key=principle,   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:13
key=(the   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:79
key=mated   value=MapReduceAssignment/test1:2
key=way   value=MapReduceAssignment/test1:63, MapReduceAssignment/test2:65, MapReduceAssignment/test3:114
key=own   value=MapReduceAssignment/test1:24, MapReduceAssignment/test2:48, MapReduceAssignment/test3:249
key=yet   value=MapReduceAssignment/test1:12, MapReduceAssignment/test2:84, MapReduceAssignment/test3:329
key=straight   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:12, MapReduceAssignment/test3:10
key=drives   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:2
key=instead,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:1, MapReduceAssignment/test3:1
key=3;   value=MapReduceAssignment/test1:54
key=confined   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:2
key=4...k   value=MapReduceAssignment/test1:3
key=often   value=MapReduceAssignment/test1:29, MapReduceAssignment/test2:6, MapReduceAssignment/test3:123
key=mobility   value=MapReduceAssignment/test1:6
key=square   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:3, MapReduceAssignment/test3:8
key=11   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:6
key=believe   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:17, MapReduceAssignment/test3:24
key=worth   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:5, MapReduceAssignment/test3:20
key=teach   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:5, MapReduceAssignment/test3:2
key=3.--now   value=MapReduceAssignment/test1:1
key=2;   value=MapReduceAssignment/test1:60
key=position,   value=MapReduceAssignment/test1:25, MapReduceAssignment/test2:1, MapReduceAssignment/test3:3
key=bishops,   value=MapReduceAssignment/test1:4
key=movements   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:14
key=driven   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:1, MapReduceAssignment/test3:5
key=rank   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:2, MapReduceAssignment/test3:18
key=8,   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:7
key=ought   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:14, MapReduceAssignment/test3:21
key=back;   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1, MapReduceAssignment/test3:1
key=diagonal,   value=MapReduceAssignment/test1:2
key=fourteen   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:3
key=care   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:9, MapReduceAssignment/test3:20
key=remember   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:6, MapReduceAssignment/test3:56
key=whether   value=MapReduceAssignment/test1:13, MapReduceAssignment/test2:7, MapReduceAssignment/test3:48
key=e.g.   value=MapReduceAssignment/test1:3
key=easiest   value=MapReduceAssignment/test1:1
key=begin   value=MapReduceAssignment/test1:13, MapReduceAssignment/test2:10, MapReduceAssignment/test3:23
key=limit   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=(should   value=MapReduceAssignment/test1:1
key=moves;   value=MapReduceAssignment/test1:3
key=being   value=MapReduceAssignment/test1:14, MapReduceAssignment/test2:53, MapReduceAssignment/test3:110
key=process   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:8
key=elementary   value=MapReduceAssignment/test1:4
key=needed.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=gain   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:1, MapReduceAssignment/test3:8
key=obtained   value=MapReduceAssignment/test1:10
key=even   value=MapReduceAssignment/test1:27, MapReduceAssignment/test2:37, MapReduceAssignment/test3:317
key=kings.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:1
key=intervening   value=MapReduceAssignment/test1:7, MapReduceAssignment/test3:2
key=won.   value=MapReduceAssignment/test1:2
key=drawn,   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=kept   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:30, MapReduceAssignment/test3:35
key=move.   value=MapReduceAssignment/test1:25, MapReduceAssignment/test2:2, MapReduceAssignment/test3:1
key=close   value=MapReduceAssignment/test1:10, MapReduceAssignment/test2:21, MapReduceAssignment/test3:63
key=comes   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:16, MapReduceAssignment/test3:56
key=results.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:2
key=back,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:15, MapReduceAssignment/test3:17
key=before,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:3, MapReduceAssignment/test3:19
key=procedure   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:1
key={11}   value=MapReduceAssignment/test1:1
key=on,   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:14, MapReduceAssignment/test3:58
key=lack   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:2, MapReduceAssignment/test3:13
key=too   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:42, MapReduceAssignment/test3:117
key=wins,   value=MapReduceAssignment/test1:3
key=safety   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:1, MapReduceAssignment/test3:6
key=safety_   value=MapReduceAssignment/test1:1
key=compelled   value=MapReduceAssignment/test1:5
key={12}   value=MapReduceAssignment/test1:1
