key=motives   value=MapReduceAssignment/test1:2
key=specimen   value=MapReduceAssignment/test1:2
key=v   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:1
key=sudden   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:13
key=111   value=MapReduceAssignment/test1:1
key=danger   value=MapReduceAssignment/test1:13, MapReduceAssignment/test2:2
key=position   value=MapReduceAssignment/test1:154, MapReduceAssignment/test2:6
key=28.   value=MapReduceAssignment/test1:29
key=122   value=MapReduceAssignment/test1:1
key=difficult   value=MapReduceAssignment/test1:28, MapReduceAssignment/test2:1
key=two   value=MapReduceAssignment/test1:66, MapReduceAssignment/test2:129
key=127   value=MapReduceAssignment/test1:1
key=rook,   value=MapReduceAssignment/test1:14
key=138   value=MapReduceAssignment/test1:1
key=final   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1
key=preserving   value=MapReduceAssignment/test1:1
key=whilst   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=restraint.)   value=MapReduceAssignment/test1:1
key=middle-games   value=MapReduceAssignment/test1:3
key=salient   value=MapReduceAssignment/test1:2
key=about   value=MapReduceAssignment/test1:18, MapReduceAssignment/test2:90
key=32.   value=MapReduceAssignment/test1:20
key=developments   value=MapReduceAssignment/test1:2
key=lopez   value=MapReduceAssignment/test1:11
key=weakness   value=MapReduceAssignment/test1:9, MapReduceAssignment/test2:3
key=q   value=MapReduceAssignment/test1:1201, MapReduceAssignment/test2:1
key=p;   value=MapReduceAssignment/test1:39
key=k   value=MapReduceAssignment/test1:1556
key=etc.)   value=MapReduceAssignment/test1:1
key=33.   value=MapReduceAssignment/test1:20
key="hole"   value=MapReduceAssignment/test1:5
key=illustrative   value=MapReduceAssignment/test1:1
key=queen's   value=MapReduceAssignment/test1:51, MapReduceAssignment/test2:1
key=declined   value=MapReduceAssignment/test1:8
key=1909)   value=MapReduceAssignment/test1:2
key=white:   value=MapReduceAssignment/test1:33
key=marshall.   value=MapReduceAssignment/test1:4
key=(san   value=MapReduceAssignment/test1:4
key=1911)   value=MapReduceAssignment/test1:4
key=a.   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:3
key=rubinstein.   value=MapReduceAssignment/test1:3
key=defence   value=MapReduceAssignment/test1:30, MapReduceAssignment/test2:2
key=1913)   value=MapReduceAssignment/test1:9
key=d.   value=MapReduceAssignment/test1:6
key=french   value=MapReduceAssignment/test1:8, MapReduceAssignment/test2:40
key=petersburg,   value=MapReduceAssignment/test1:9
key=capablanca.   value=MapReduceAssignment/test1:14
key=snosko-borovski   value=MapReduceAssignment/test1:2
key=181   value=MapReduceAssignment/test1:1
key=lasker.   value=MapReduceAssignment/test1:2
key=memorial   value=MapReduceAssignment/test1:2
key=1916)   value=MapReduceAssignment/test1:2
key=o.   value=MapReduceAssignment/test1:5
key=197   value=MapReduceAssignment/test1:1
key=(berlin,   value=MapReduceAssignment/test1:3
key=mieses.   value=MapReduceAssignment/test1:2
key=teichmann   value=MapReduceAssignment/test1:2
key=215   value=MapReduceAssignment/test1:1
key=221   value=MapReduceAssignment/test1:1
key=(new   value=MapReduceAssignment/test1:6
key=1918)   value=MapReduceAssignment/test1:6
key=chajes   value=MapReduceAssignment/test1:3
key=s.   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:1
key=j.r.   value=MapReduceAssignment/test1:2
key={3}   value=MapReduceAssignment/test1:1
key=student   value=MapReduceAssignment/test1:55, MapReduceAssignment/test2:1
key=do,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:2
key=himself   value=MapReduceAssignment/test1:15, MapReduceAssignment/test2:63
key=can   value=MapReduceAssignment/test1:124, MapReduceAssignment/test2:80
key=learning   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:1
key=quickly   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:3
key=king   value=MapReduceAssignment/test1:139, MapReduceAssignment/test2:16
key=drive   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:2
key=last   value=MapReduceAssignment/test1:35, MapReduceAssignment/test2:33
key=on   value=MapReduceAssignment/test1:214, MapReduceAssignment/test2:461
key=[illustration]   value=MapReduceAssignment/test1:150
key=demonstrated   value=MapReduceAssignment/test1:1
key=r   value=MapReduceAssignment/test1:1451
key=7,   value=MapReduceAssignment/test1:23
key=confines   value=MapReduceAssignment/test1:1
key=rank,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:1
key=by:   value=MapReduceAssignment/test1:1
key=kt   value=MapReduceAssignment/test1:1341
key=2   value=MapReduceAssignment/test1:344, MapReduceAssignment/test2:2
key=needed   value=MapReduceAssignment/test1:1, MapReduceAssignment/test2:2
key=forced.   value=MapReduceAssignment/test1:3
key=follow   value=MapReduceAssignment/test1:13, MapReduceAssignment/test2:13
key=his   value=MapReduceAssignment/test1:255, MapReduceAssignment/test2:751
key=or,   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:9
key=file,   value=MapReduceAssignment/test1:10
key=when,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test2:6
key=brought   value=MapReduceAssignment/test1:12, MapReduceAssignment/test2:28
key=better   value=MapReduceAssignment/test1:43, MapReduceAssignment/test2:24
key=next   value=MapReduceAssignment/test1:10, MapReduceAssignment/test2:20
key=2...k   value=MapReduceAssignment/test1:4
key=4   value=MapReduceAssignment/test1:526, MapReduceAssignment/test2:2
key=5   value=MapReduceAssignment/test1:367
key=6,   value=MapReduceAssignment/test1:49
key=back   value=MapReduceAssignment/test1:29, MapReduceAssignment/test2:122
key=longer   value=MapReduceAssignment/test1:5, MapReduceAssignment/test2:7
key=if   value=MapReduceAssignment/test1:175, MapReduceAssignment/test2:189
key=8   value=MapReduceAssignment/test1:81
key=6...k   value=MapReduceAssignment/test1:2
key=10   value=MapReduceAssignment/test1:12
key=exactly   value=MapReduceAssignment/test1:1
key=original   value=MapReduceAssignment/test1:6, MapReduceAssignment/test2:1
key=could   value=MapReduceAssignment/test1:60, MapReduceAssignment/test2:89
key=and,   value=MapReduceAssignment/test1:14, MapReduceAssignment/test2:64
key=principle,   value=MapReduceAssignment/test1:1
key=would   value=MapReduceAssignment/test1:234, MapReduceAssignment/test2:84
key=(the   value=MapReduceAssignment/test1:10
key=forced   value=MapReduceAssignment/test1:18, MapReduceAssignment/test2:8
key=mated   value=MapReduceAssignment/test1:2
key={5}   value=MapReduceAssignment/test1:1
key=way   value=MapReduceAssignment/test1:63, MapReduceAssignment/test2:65
key=advance   value=MapReduceAssignment/test1:48, MapReduceAssignment/test2:1
key=own   value=MapReduceAssignment/test1:24, MapReduceAssignment/test2:48
key=2,   value=MapReduceAssignment/test1:39, MapReduceAssignment/test2:1
key=yet   value=MapReduceAssignment/test1:12, MapReduceAssignment/test2:84
key=into   value=MapReduceAssignment/test1:37, MapReduceAssignment/test2:150
key=straight   value=MapReduceAssignment/test1:2, MapReduceAssignment/test2:12
key=other   value=MapReduceAssignment/test1:73, MapReduceAssignment/test2:63
key=drives   value=MapReduceAssignment/test1:4
key=hand,   value=MapReduceAssignment/test1:11, MapReduceAssignment/test2:10
key=instead,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test2:1
key=3...   value=MapReduceAssignment/test1:2
key=3;   value=MapReduceAssignment/test1:54
key=6;   value=MapReduceAssignment/test1:10
key=confined   value=MapReduceAssignment/test1:2
key=squares   value=MapReduceAssignment/test1:22
key=4...k   value=MapReduceAssignment/test1:3
key=ch,   value=MapReduceAssignment/test1:79
key=often   value=MapReduceAssignment/test1:29, MapReduceAssignment/test2:6
key=defend   value=MapReduceAssignment/test1:19, MapReduceAssignment/test2:4
key=mobility   value=MapReduceAssignment/test1:6
key=three   value=MapReduceAssignment/test1:23, MapReduceAssignment/test2:57
key=square   value=MapReduceAssignment/test1:16, MapReduceAssignment/test2:3
key=forcing   value=MapReduceAssignment/test1:9, MapReduceAssignment/test2:1
key=11   value=MapReduceAssignment/test1:10
key=mate,   value=MapReduceAssignment/test1:6
key=believe   value=MapReduceAssignment/test1:7, MapReduceAssignment/test2:17
