key=163   value=MapReduceAssignment/test1:1
key=rubinstein.   value=MapReduceAssignment/test1:3
key=(havana,   value=MapReduceAssignment/test1:3
key=d.   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:12
key=(st.   value=MapReduceAssignment/test1:8
key=capablanca.   value=MapReduceAssignment/test1:14
key=1914)   value=MapReduceAssignment/test1:6
key=lasker.   value=MapReduceAssignment/test1:2
key=tournament,   value=MapReduceAssignment/test1:10
key=o.   value=MapReduceAssignment/test1:5
key=burn   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:4, MapReduceAssignment/test2:1
key=mieses.   value=MapReduceAssignment/test1:2
key=petroff   value=MapReduceAssignment/test1:3
key=221   value=MapReduceAssignment/test1:1
key=york,   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:37, MapReduceAssignment/test2:1
key=chajes   value=MapReduceAssignment/test1:3
key=morrison.   value=MapReduceAssignment/test1:2
key={3}   value=MapReduceAssignment/test1:1
key=should   value=MapReduceAssignment/test1:108, MapReduceAssignment/test3:171, MapReduceAssignment/test2:37
key=himself   value=MapReduceAssignment/test1:15, MapReduceAssignment/test3:104, MapReduceAssignment/test2:63
key=done   value=MapReduceAssignment/test1:15, MapReduceAssignment/test3:27, MapReduceAssignment/test2:19
key=quickly   value=MapReduceAssignment/test1:16, MapReduceAssignment/test3:10, MapReduceAssignment/test2:3
key=_the   value=MapReduceAssignment/test1:11, MapReduceAssignment/test3:20, MapReduceAssignment/test2:2
key=last   value=MapReduceAssignment/test1:35, MapReduceAssignment/test3:227, MapReduceAssignment/test2:33
key=board_   value=MapReduceAssignment/test1:1
key=demonstrated   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=-   value=MapReduceAssignment/test1:2980, MapReduceAssignment/test3:7, MapReduceAssignment/test2:7
key=confines   value=MapReduceAssignment/test1:1
key=accomplished   value=MapReduceAssignment/test1:4
key=kt   value=MapReduceAssignment/test1:1341
key=combined   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:2
key=forced.   value=MapReduceAssignment/test1:3
key=_keep   value=MapReduceAssignment/test1:3
key=or,   value=MapReduceAssignment/test1:7, MapReduceAssignment/test3:10, MapReduceAssignment/test2:9
key=king._   value=MapReduceAssignment/test1:1
key=brought   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:69, MapReduceAssignment/test2:28
key=place   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:81, MapReduceAssignment/test2:26
key=2...k   value=MapReduceAssignment/test1:4
key=4,   value=MapReduceAssignment/test1:97, MapReduceAssignment/test3:5, MapReduceAssignment/test2:3
key=6,   value=MapReduceAssignment/test1:49, MapReduceAssignment/test3:7
key=take   value=MapReduceAssignment/test1:31, MapReduceAssignment/test3:75, MapReduceAssignment/test2:66
key=if   value=MapReduceAssignment/test1:175, MapReduceAssignment/test3:321, MapReduceAssignment/test2:189
key=once   value=MapReduceAssignment/test1:34, MapReduceAssignment/test3:71, MapReduceAssignment/test2:52
key=10   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:5
key=ten   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:47, MapReduceAssignment/test2:16
key=could   value=MapReduceAssignment/test1:60, MapReduceAssignment/test3:178, MapReduceAssignment/test2:89
key=according   value=MapReduceAssignment/test1:14, MapReduceAssignment/test3:10
key=would   value=MapReduceAssignment/test1:234, MapReduceAssignment/test3:280, MapReduceAssignment/test2:84
key=ultimately   value=MapReduceAssignment/test1:3
key=mated   value=MapReduceAssignment/test1:2
key=board,   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:1, MapReduceAssignment/test2:1
key=advance   value=MapReduceAssignment/test1:48, MapReduceAssignment/test3:12, MapReduceAssignment/test2:1
key=thus:   value=MapReduceAssignment/test1:19, MapReduceAssignment/test3:1
key=yet   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:329, MapReduceAssignment/test2:84
key=play,   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:6, MapReduceAssignment/test2:3
key=other   value=MapReduceAssignment/test1:73, MapReduceAssignment/test3:291, MapReduceAssignment/test2:63
key=ch.   value=MapReduceAssignment/test1:5
key=instead,   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:1, MapReduceAssignment/test2:1
key=follows   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:2
key=6;   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:1
key=few   value=MapReduceAssignment/test1:22, MapReduceAssignment/test3:153, MapReduceAssignment/test2:28
key=4...k   value=MapReduceAssignment/test1:3
key=noticed   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:21, MapReduceAssignment/test2:2
key=defend   value=MapReduceAssignment/test1:19, MapReduceAssignment/test3:3, MapReduceAssignment/test2:4
key={6}   value=MapReduceAssignment/test1:1
key=square   value=MapReduceAssignment/test1:16, MapReduceAssignment/test3:8, MapReduceAssignment/test2:3
key=white,   value=MapReduceAssignment/test1:27, MapReduceAssignment/test3:11, MapReduceAssignment/test2:5
key=mate,   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:1
key=twenty.   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=worth   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:20, MapReduceAssignment/test2:5
key=things,   value=MapReduceAssignment/test1:3, MapReduceAssignment/test3:19, MapReduceAssignment/test2:4
key=proper   value=MapReduceAssignment/test1:29, MapReduceAssignment/test3:15, MapReduceAssignment/test2:5
key=we   value=MapReduceAssignment/test1:78, MapReduceAssignment/test3:615, MapReduceAssignment/test2:172
key=2;   value=MapReduceAssignment/test1:60
key=king,   value=MapReduceAssignment/test1:23, MapReduceAssignment/test3:2, MapReduceAssignment/test2:1
key=advanced   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:9, MapReduceAssignment/test2:2
key=restricted   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1
key=movements   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:14, MapReduceAssignment/test2:1
key=must   value=MapReduceAssignment/test1:72, MapReduceAssignment/test3:212, MapReduceAssignment/test2:90
key=before   value=MapReduceAssignment/test1:35, MapReduceAssignment/test3:192, MapReduceAssignment/test2:76
key=time,   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:88, MapReduceAssignment/test2:9
key=8,   value=MapReduceAssignment/test1:5, MapReduceAssignment/test3:7
key=these   value=MapReduceAssignment/test1:42, MapReduceAssignment/test3:422, MapReduceAssignment/test2:98
key=mark   value=MapReduceAssignment/test1:4, MapReduceAssignment/test3:16, MapReduceAssignment/test2:5
key=up   value=MapReduceAssignment/test1:67, MapReduceAssignment/test3:384, MapReduceAssignment/test2:262
key=diagonal,   value=MapReduceAssignment/test1:2
key=14   value=MapReduceAssignment/test1:10, MapReduceAssignment/test3:2
key=all   value=MapReduceAssignment/test1:115, MapReduceAssignment/test3:1357, MapReduceAssignment/test2:247
key=drift   value=MapReduceAssignment/test1:1, MapReduceAssignment/test3:1, MapReduceAssignment/test2:1
key=remember   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:56, MapReduceAssignment/test2:6
key=immaterial   value=MapReduceAssignment/test1:1
key=an   value=MapReduceAssignment/test1:91, MapReduceAssignment/test3:600, MapReduceAssignment/test2:178
key=4.--we   value=MapReduceAssignment/test1:1
key=easiest   value=MapReduceAssignment/test1:1
key=position:   value=MapReduceAssignment/test1:4
key=queen,   value=MapReduceAssignment/test1:8, MapReduceAssignment/test3:1, MapReduceAssignment/test2:1
key=possible.   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:3
key=(should   value=MapReduceAssignment/test1:1
key=move);   value=MapReduceAssignment/test1:1
key=board;   value=MapReduceAssignment/test1:2
key=more   value=MapReduceAssignment/test1:68, MapReduceAssignment/test3:576, MapReduceAssignment/test2:85
key=process   value=MapReduceAssignment/test1:2, MapReduceAssignment/test3:8
key=shorter.   value=MapReduceAssignment/test1:1
key=each   value=MapReduceAssignment/test1:12, MapReduceAssignment/test3:115, MapReduceAssignment/test2:14
key=order   value=MapReduceAssignment/test1:57, MapReduceAssignment/test3:17, MapReduceAssignment/test2:3
key=gain   value=MapReduceAssignment/test1:6, MapReduceAssignment/test3:8, MapReduceAssignment/test2:1
